id,mel_nor_mrna,mel_nor_rpf,mel_lte,mel_lte_SE,sim_nor_mrna,sim_nor_rpf,sim_lte,sim_lte_SE,log2Beta,SE_log2Beta,p_log2Beta,adj_P_log2Beta
FBtr0088688_37,329.805886965232,63.3827376228846,-2.37943733062554,0.266180360704094,161.214206741028,81.0598536206692,-0.991907335123713,0.311759181479217,1.38752999550182,0.40993386254511,0.000712390865169733,0.00313084320572237
FBtr0088694,1359.4237679139,504.624103382197,-1.42970136342369,0.116732490122623,630.200989987653,243.930115062199,-1.3693306853511,0.190798674343376,0.0603706780725963,0.223675229700157,0.787234663989665,0.894348719188947
FBtr0088694_52,22.1511416618439,31.6913688114423,0.516718959690246,0.606947759728057,7.9940928962493,23.2671802059328,1.54129025820916,0.850378864570603,1.02457129851892,1.04476303358575,0.326753833730939,0.513386962847371
FBtr0088695,4782.18536099586,14092.9079306883,1.55923586064276,0.157912380866603,3388.16303919366,11233.5447142644,1.72924706162343,0.161128448495476,0.170011200980676,0.225607395591365,0.451106835930367,0.638484761204431
FBtr0088709,6.56330123313894,12.1889880044009,0.893091088288406,1.03218443566783,6.66174408020775,21.0155176053587,1.65748138904944,0.915211188600533,0.764390300761037,1.37949854257789,0.579505370841878,0.748128255665866
FBtr0088710,10302.7421107199,1840.53718866453,-2.48480951421287,0.179181912041317,7710.30259843245,1437.3112933665,-2.4233932847627,0.158380425206537,0.0614162294501686,0.239145388187574,0.797321245954835,0.899701266768332
FBtr0088710_71,225.613479889151,59.7260412215643,-1.91740503970979,0.294234899749347,162.546555557069,51.7882398132054,-1.65014137801528,0.326291972658128,0.267263661694513,0.439363889790275,0.542990622633974,0.72007046865022
FBtr0088710_85,248.585034205137,8.53229160308062,-4.86462503735564,0.486872863178262,190.525880693942,19.5144092049759,-3.2873503814739,0.364135559860266,1.57727465588174,0.607980173076514,0.00947875086978415,0.030409952405613
FBtr0088719,4202.15361451721,1832.00489706145,-1.1976926312818,0.0957559614223715,2185.05205830814,1308.96652513377,-0.739227124947238,0.0836854441158456,0.458465506334562,0.1271709782332,0.000312019407193598,0.00149669151742562
FBtr0088725,13.9470151204203,7.31339280264053,-0.931309610332577,0.993393950815115,22.6499298727064,43.5321436111002,0.94258024331052,0.547968607180194,1.8738898536431,1.13450479768534,0.0985906388517184,0.210171888125487
FBtr0088727,6419.72901866403,2081.87915115167,-1.62461097884833,0.121907942645784,3714.58849912384,953.954388443246,-1.96119218867584,0.113059680607378,-0.336581209827514,0.166264962812885,0.0429324627735783,0.108281413673679
FBtr0088727_136,24.612379624271,0,-6.77826664139418,1.64139014521305,35.9734180331219,3.75277100095691,-3.26086391151614,0.866073052636517,3.51740272987805,1.85586749023352,0.0580543037453886,0.138732968772361
FBtr0088728,735.089738111561,158.456844057211,-2.21381412092976,0.193742695980894,528.942479968495,226.667368457797,-1.22252136037601,0.206144515083699,0.991292760553746,0.282898910116385,0.000458234234756641,0.00211479371920468
FBtr0088730,3645.09342235454,1214.02320523833,-1.586145479444,0.101115555807119,170.540648453318,13.5099756034449,-3.65799068816041,0.414413243107668,-2.07184520871641,0.426570851898248,1.19190879575558e-06,9.06319895149911e-06
FBtr0088730_81,91.0658046098028,26.8157736096819,-1.7638081036419,0.428636499066067,66.6174408020775,35.2760474089949,-0.917197473289815,0.470768797359411,0.846610630352087,0.636672999976315,0.183603394070286,0.338111168315227
FBtr0088742,2270.08181401193,9050.32359326766,1.99523229753637,0.175171442669936,1629.46260201882,4552.11122416073,1.48214774286755,0.145145426181948,-0.51308455466882,0.227491162616498,0.0241079608062909,0.0672856372177695
FBtr0088744,24.612379624271,0,-6.77826664139418,1.64139014521305,1.33234881604155,1.50110840038276,0.172058104013373,2.64502597232949,6.95032474540756,3.11292852521545,0.0255668430529781,0.0706478065450314
FBtr0088745,1927.14932458042,370.545235333787,-2.37872927360772,0.134344701239725,1300.37244445655,451.833628515212,-1.52504663964932,0.122753866698298,0.853682633958399,0.181980797175346,2.71794737687167e-06,1.93307447248632e-05
FBtr0088746,46.763521286115,20.7212796074815,-1.17425029027064,0.584687720846055,3.99704644812465,2.25166260057415,-0.827899222835749,1.74377201183281,0.346351067434894,1.83918475422118,0.850627600481863,0.927051295141586
FBtr0088748,9.02453919556604,3.65669640132026,-1.30325799761855,1.25798857139554,5.3293952641662,15.0110840038276,1.49398217189574,1.0482197352311,2.79724016951429,1.63746751390364,0.0875858542485483,0.19201001321007
FBtr0088749,6473.87625383742,15699.4165496683,1.27801825488505,0.153306094115848,4076.98737708714,6400.7262192321,0.650742362599402,0.109166090886555,-0.627275892285645,0.188202002891864,0.000859172121900053,0.00370801832119208
FBtr0088758,73.0167262186707,42.6614580154031,-0.775279632088857,0.440579200992945,6.66174408020775,59.2937818151192,3.15389998569851,0.745445619866965,3.92917961778737,0.865909466703319,5.68890749605481e-06,3.82618283779245e-05
FBtr0088759,78.7596147976673,19.5023808070414,-2.01378330411835,0.470898518451189,15.9881857924986,21.0155176053587,0.394458432648715,0.738996231763098,2.40824173676707,0.87627669445192,0.00599113217485051,0.020486516087534
FBtr0088777,6317.99784955037,515.594192586157,-3.61513321712136,0.206528141297703,2147.74629145898,280.707270871577,-2.93566249642776,0.157660288775512,0.679470720693598,0.25982809664211,0.00892070996193605,0.0289242835388137
FBtr0088780,549.676478275386,81.6662196294859,-2.75075201228767,0.231877671003051,3.99704644812465,3.00221680076553,-0.412874860669468,1.60738713648448,2.3378771516182,1.6240260653221,0.149992936247639,0.290788019244352
FBtr0088781,3202.8910017718,825.19448789794,-1.95655275341977,0.111100342865683,1850.63250548171,456.33695371636,-2.01982963974058,0.121079349734981,-0.0632768863208142,0.164327402210094,0.700188558649509,0.837381952616247
FBtr0088781_114,62.3513617148199,10.9700892039608,-2.50681633718278,0.560874544909508,33.3087204010387,15.0110840038276,-1.1498530463867,0.690762085723058,1.35696329079607,0.889793523352422,0.127251201998401,0.255324523492864
FBtr0088781_121,44.3022833236879,2.43779760088018,-4.18367281453577,0.968169608088601,26.646976320831,1.50110840038276,-4.14981298616272,1.23518400834435,0.0338598283730533,1.5694049587331,0.982787018497435,0.991867184018152
FBtr0088782,196.078624340026,431.490175355791,1.13790108545235,0.199329359476777,157.217160292903,1690.24805883099,3.42640509718488,0.260412552462193,2.28850401173253,0.327943426568206,2.98666854247682e-12,4.58389951979558e-11
FBtr0088783,8410.87053026755,7982.56824408214,-0.075391581326347,0.125026389776571,5653.1560264643,5735.73519786254,0.0209334903391124,0.10496313004074,0.0963250716654594,0.163244775746461,0.555146895772254,0.729041678313301
FBtr0088784,1476.74277745626,53.6315472193639,-4.78316009128219,0.29022767407899,1107.18186613053,57.042119214545,-4.27868983905129,0.264663849750027,0.5044702522309,0.39278372696155,0.1990208794399,0.359071842971703
FBtr0088784_78,73.0167262186707,1.21889880044009,-5.90450365329763,1.05904985177491,34.6410692170803,1.50110840038276,-4.52832616495741,1.18057207595846,1.37617748834022,1.58598140439203,0.385551189068985,0.576379922950793
FBtr0088784_81,72.1963135645284,1.21889880044009,-5.88820178288002,1.06138379539489,31.9763715849972,0.750554200191382,-5.41282951454996,1.38382971690565,0.475372268330061,1.74399548351423,0.785178741622113,0.893102053037892
FBtr0088785,3185.66233603481,3094.78405431738,-0.0417450904997849,0.08567745772434,1589.49213753757,1605.43543420937,0.0144088413889484,0.0893940190943266,0.0561539318887333,0.123822120042999,0.650185252276182,0.804161164247227
FBtr0088788,4621.38448078396,7354.83536185549,0.67037692238695,0.113912364032727,3325.54264483971,5692.20305425144,0.775407204652446,0.10919833269983,0.105030282265496,0.157798297024864,0.505667877004139,0.688069002344459
FBtr0088789,2758.22734322664,315.694789313983,-3.12711692265184,0.16428151653552,1949.22631786879,283.709487672342,-2.78039362914606,0.152436749514892,0.346723293505779,0.224110194497877,0.121836539571588,0.247184443483334
FBtr0088790,1566.16775675778,307.162497710902,-2.35014755407921,0.141571545141271,1905.25880693942,469.096375119614,-2.02201327534113,0.120132487481786,0.328134278738088,0.185672606870934,0.0771824347805352,0.173748235430486
FBtr0088792,9922.89105185194,26346.4975715125,1.40878825902091,0.178216581362886,9191.87448187065,17340.8042412217,0.915750894869942,0.154739167704505,-0.493037364150967,0.236019829452012,0.0367107971836962,0.0952124310778719
FBtr0088792_262,8.20412654142368,6.09449400220044,-0.428810795072279,1.15091185835138,2.6646976320831,4.50332520114829,0.757017947626549,1.66981595020251,1.18582874269883,2.02802451002066,0.558735257294781,0.731449519819161
FBtr0088792_330,3.28165061656947,1.21889880044009,-1.42874353370046,2.17845180111914,2.6646976320831,2.25166260057415,-0.242952417579726,1.9564027346282,1.18579111612074,2.92799656930467,0.685489434237614,0.828215268974769
FBtr0088792_334,0.820412654142368,0,-1.87145528951235,4.37053847823785,1.33234881604155,0,-3.2704726785733,3.97367598607294,-1.39901738906095,5.90692030012682,0.812777978629874,0.904552445441159
FBtr0088792_418,211.666464768731,248.655355289778,0.232362410115634,0.219141067272471,718.136011846395,1230.90888831387,0.777402918345944,0.132014102908558,0.54504050823031,0.255833013374093,0.0331341362746088,0.0875707632994375
FBtr0088792_462,6.56330123313894,9.75119040352071,0.571168506034193,1.08104929190403,7.9940928962493,6.00443360153105,-0.412882723471619,1.16017653902075,-0.984051229505812,1.58577336754669,0.534895926339782,0.713930780929957
FBtr0088792_478,210.846052114588,241.341962487137,0.194896492656297,0.221478108478679,716.803663030354,1229.40777991348,0.778321557291562,0.132088030896137,0.583425064635265,0.257875552236563,0.023670925996454,0.0663464513993691
FBtr0088792_635,127.984374046209,215.745087677896,0.753366448525504,0.255184447296365,189.1935318779,301.722788476936,0.673367830680962,0.212531742999173,-0.0799986178445422,0.332097642153958,0.809641267074832,0.904552445441159
FBtr0088803,606.28495141121,825.19448789794,0.444745583473356,0.137660907991237,369.060622043509,827.861282811094,1.16553788042861,0.157518338307227,0.720792296955252,0.209195010676741,0.000569894211302528,0.00257218983074746
FBtr0088803_54,21.3307290077016,0,-6.57180776274498,1.67120599095267,7.9940928962493,0,-5.85539379552383,2.09863983291149,0.71641396722115,2.68276324197251,0.789435817496986,0.895687933270219
FBtr0088804,1415.21182839558,432.709074156231,-1.70953467290802,0.123126563408311,50.6292550095789,306.976667878275,2.60008666721306,0.325242549363284,4.30962134012109,0.347768409337405,2.87973205639478e-35,2.78122414885591e-33
FBtr0088805,56.6084731358234,14.6267856052811,-1.95237992365082,0.560914676811603,35.9734180331219,15.761638204019,-1.1904952614824,0.668453064896506,0.761884662168412,0.872613760281259,0.382605083738829,0.573057392088824
FBtr0088806,527.525336613542,911.736302729186,0.789383043940689,0.142078109766178,258.475670312061,171.126357643635,-0.594956148096982,0.246485600627844,-1.38433919203767,0.284501916674737,1.13974964868642e-06,8.68325862700542e-06
